date,price,last_update
2026-04-02,2.254,2026-04-02T12:00:00+02:00
2026-04-03,2.254,2026-04-03T12:00:00+02:00
2026-04-04,2.254,2026-04-04T12:00:00+02:00
2026-04-05,2.254,2026-04-05T12:00:00+02:00
2026-04-06,2.254,2026-04-06T12:00:00+02:00
2026-04-07,2.344,2026-04-07T12:00:00+02:00
2026-04-08,2.274,2026-04-08T12:00:00+02:00
2026-04-09,2.274,2026-04-08T11:57:57+02:00
2026-04-10,2.234,2026-04-09T16:17:30+02:00
2026-04-14,2.184,2026-04-13T16:38:50+02:00
2026-04-16,2.124,2026-04-15T16:47:26+02:00
2026-04-17,2.104,2026-04-16T15:58:01+02:00
2026-04-18,1.994,2026-04-17T16:01:37+02:00
2026-04-23,2.054,2026-04-23T12:03:38+02:00
2026-04-24,2.074,2026-04-24T12:03:44+02:00
2026-04-25,2.074,2026-04-24T12:03:44+02:00
2026-04-28,2.094,2026-04-27T12:03:47+02:00
2026-04-29,2.094,2026-04-28T17:03:33+02:00
2026-05-02,2.089,2026-05-01T12:03:18+02:00
2026-05-07,2.034,2026-05-06T13:33:08+02:00
2026-05-09,1.994,2026-05-08T12:02:30+02:00
2026-05-11,1.984,2026-05-11T11:51:33+02:00
2026-05-12,1.984,2026-05-11T11:51:33+02:00
2026-05-13,1.954,2026-05-13T12:04:34+02:00
2026-05-14,1.934,2026-05-13T12:53:34+02:00
2026-05-20,1.904,2026-05-19T17:32:57+02:00
