date,price,last_update
2026-04-01,1.999,2026-04-01T12:02:27+02:00
2026-04-02,2.059,2026-04-02T12:00:41+02:00
2026-04-03,2.059,2026-04-03T12:00:00+02:00
2026-04-04,2.059,2026-04-04T12:00:00+02:00
2026-04-05,2.059,2026-04-05T12:00:00+02:00
2026-04-06,2.099,2026-04-06T12:00:00+02:00
2026-04-07,2.189,2026-04-07T11:56:06+02:00
2026-04-08,2.189,2026-04-08T12:02:08+02:00
2026-04-09,2.069,2026-04-08T16:05:47+02:00
2026-04-10,2.009,2026-04-10T08:55:48+02:00
2026-04-11,2.049,2026-04-10T13:11:34+02:00
2026-04-14,2.009,2026-04-13T15:01:07+02:00
2026-04-15,2.009,2026-04-15T10:36:48+02:00
2026-04-16,2.009,2026-04-16T07:35:58+02:00
2026-04-17,2.009,2026-04-16T15:11:13+02:00
2026-04-20,1.999,2026-04-20T08:42:17+02:00
2026-04-21,1.999,2026-04-21T07:31:37+02:00
2026-04-22,1.999,2026-04-21T07:31:37+02:00
2026-04-24,1.999,2026-04-24T07:51:03+02:00
2026-04-25,1.999,2026-04-24T07:51:03+02:00
2026-04-28,2.039,2026-04-27T14:00:35+02:00
2026-04-29,2.009,2026-04-29T07:47:17+02:00
