date,price,last_update
2026-04-01,2.109,2026-04-01T14:38:42+02:00
2026-04-02,2.109,2026-04-02T12:00:00+02:00
2026-04-03,2.109,2026-04-03T12:00:00+02:00
2026-04-04,2.109,2026-04-04T12:00:00+02:00
2026-04-06,2.109,2026-04-06T12:00:00+02:00
2026-04-07,2.169,2026-04-07T17:12:35+02:00
2026-04-08,2.169,2026-04-07T17:12:35+02:00
2026-04-09,2.179,2026-04-09T12:01:58+02:00
2026-04-10,2.199,2026-04-10T12:01:19+02:00
2026-04-11,2.079,2026-04-10T17:13:43+02:00
2026-04-12,2.079,2026-04-11T12:07:23+02:00
2026-04-13,2.139,2026-04-13T12:02:16+02:00
2026-04-14,2.129,2026-04-14T12:01:33+02:00
2026-04-15,2.099,2026-04-15T12:02:30+02:00
2026-04-16,2.109,2026-04-16T12:01:22+02:00
2026-04-17,2.039,2026-04-16T17:20:31+02:00
2026-04-20,2.109,2026-04-20T12:02:50+02:00
2026-04-21,2.109,2026-04-21T12:01:21+02:00
2026-04-22,2.089,2026-04-22T12:01:30+02:00
2026-04-23,2.099,2026-04-23T12:01:36+02:00
2026-04-24,2.079,2026-04-24T12:01:42+02:00
2026-04-25,1.999,2026-04-24T13:26:59+02:00
2026-04-28,2.049,2026-04-28T12:01:58+02:00
2026-04-29,2.049,2026-04-29T12:07:35+02:00
2026-04-30,2.049,2026-04-30T12:02:32+02:00
2026-05-01,2.019,2026-04-30T12:34:57+02:00
2026-05-02,1.869,2026-05-02T09:06:43+02:00
2026-05-03,1.869,2026-05-02T09:06:43+02:00
2026-05-05,1.939,2026-05-05T12:00:38+02:00
2026-05-06,1.949,2026-05-06T12:02:44+02:00
2026-05-07,1.929,2026-05-07T11:53:51+02:00
2026-05-08,1.899,2026-05-07T16:37:33+02:00
2026-05-09,1.879,2026-05-08T12:23:50+02:00
2026-05-13,1.949,2026-05-13T12:01:29+02:00
2026-05-14,1.899,2026-05-13T15:47:46+02:00
2026-05-15,1.949,2026-05-15T12:01:44+02:00
2026-05-16,1.899,2026-05-16T11:09:56+02:00
2026-05-17,1.899,2026-05-16T11:09:56+02:00
2026-05-18,1.949,2026-05-18T12:02:21+02:00
2026-05-19,1.949,2026-05-19T12:01:51+02:00
2026-05-20,1.969,2026-05-20T12:01:11+02:00
2026-05-21,1.959,2026-05-21T12:01:20+02:00
2026-05-22,1.959,2026-05-22T12:02:16+02:00
2026-05-23,1.899,2026-05-23T08:53:04+02:00
