date,price,last_update
2026-04-01,2.119,2026-04-01T12:03:32+02:00
2026-04-02,2.219,2026-04-02T12:00:41+02:00
2026-04-03,2.109,2026-04-03T12:00:00+02:00
2026-04-04,2.109,2026-04-04T12:00:00+02:00
2026-04-05,2.109,2026-04-05T12:00:00+02:00
2026-04-06,2.109,2026-04-06T12:00:00+02:00
2026-04-08,2.219,2026-04-08T12:03:10+02:00
2026-04-09,2.199,2026-04-09T12:05:03+02:00
2026-04-10,2.109,2026-04-10T12:07:24+02:00
2026-04-11,2.049,2026-04-10T16:56:26+02:00
2026-04-13,2.159,2026-04-13T12:03:17+02:00
2026-04-14,2.119,2026-04-14T12:03:35+02:00
2026-04-15,2.159,2026-04-15T12:04:33+02:00
2026-04-16,2.019,2026-04-16T08:59:39+02:00
2026-04-17,2.119,2026-04-17T12:05:07+02:00
2026-04-18,2.019,2026-04-17T16:52:33+02:00
2026-04-20,2.039,2026-04-20T12:03:51+02:00
2026-04-21,2.079,2026-04-21T12:07:26+02:00
2026-04-22,1.969,2026-04-22T10:07:46+02:00
2026-04-23,2.099,2026-04-23T12:03:38+02:00
2026-04-24,2.109,2026-04-24T12:05:45+02:00
2026-04-25,2.029,2026-04-24T16:27:44+02:00
2026-04-27,2.119,2026-04-27T12:02:46+02:00
2026-04-28,2.009,2026-04-28T07:48:58+02:00
2026-04-29,2.149,2026-04-29T12:03:30+02:00
2026-04-30,2.149,2026-04-30T12:03:33+02:00
2026-05-01,2.069,2026-04-30T15:01:26+02:00
2026-05-04,2.099,2026-05-04T12:04:56+02:00
2026-05-05,2.079,2026-05-05T12:04:49+02:00
2026-05-06,1.959,2026-05-06T07:43:34+02:00
2026-05-07,2.079,2026-05-07T12:08:10+02:00
2026-05-08,2.039,2026-05-08T12:01:28+02:00
2026-05-09,1.939,2026-05-08T16:23:47+02:00
2026-05-11,1.959,2026-05-11T12:03:43+02:00
2026-05-12,1.959,2026-05-12T12:03:23+02:00
2026-05-13,2.019,2026-05-13T12:01:29+02:00
2026-05-14,1.889,2026-05-13T15:32:30+02:00
2026-05-16,1.879,2026-05-15T16:52:28+02:00
2026-05-18,1.969,2026-05-18T12:02:21+02:00
2026-05-19,1.989,2026-05-19T12:02:52+02:00
2026-05-20,1.969,2026-05-20T11:59:08+02:00
2026-05-21,1.959,2026-05-21T12:01:20+02:00
2026-05-22,2.009,2026-05-22T12:13:24+02:00
2026-05-23,1.899,2026-05-22T14:50:45+02:00
2026-05-26,1.839,2026-05-26T10:58:18+02:00
2026-05-27,2.079,2026-05-27T12:02:41+02:00
2026-05-28,1.899,2026-05-28T12:01:57+02:00
2026-05-29,1.799,2026-05-29T11:28:30+02:00
2026-05-30,1.779,2026-05-29T14:43:52+02:00
2026-06-01,2.049,2026-06-01T12:02:37+02:00
2026-06-02,1.929,2026-06-02T12:03:45+02:00
2026-06-03,1.909,2026-06-03T12:04:52+02:00
2026-06-04,1.869,2026-06-03T15:00:52+02:00
2026-06-05,1.979,2026-06-05T12:01:21+02:00
2026-06-06,1.979,2026-06-05T16:02:24+02:00
2026-06-08,1.939,2026-06-08T12:04:47+02:00
2026-06-09,1.909,2026-06-09T12:00:58+02:00
2026-06-10,1.919,2026-06-10T12:01:16+02:00
2026-06-11,1.909,2026-06-11T12:01:06+02:00
2026-06-12,1.899,2026-06-12T12:01:21+02:00
2026-06-13,1.779,2026-06-12T16:31:47+02:00
2026-06-14,1.779,2026-06-14T04:11:45+02:00
2026-06-15,1.899,2026-06-15T12:04:52+02:00
2026-06-16,1.929,2026-06-16T12:02:46+02:00
2026-06-17,1.749,2026-06-17T07:42:26+02:00
2026-06-18,1.919,2026-06-18T12:03:29+02:00
2026-06-19,1.899,2026-06-19T12:01:59+02:00
2026-06-20,1.729,2026-06-19T16:36:03+02:00
2026-06-22,1.899,2026-06-22T12:02:16+02:00
2026-06-23,1.899,2026-06-23T12:06:55+02:00
2026-06-24,1.939,2026-06-24T12:07:45+02:00
