date,price,last_update
2026-04-01,2.384,2026-04-01T12:02:27+02:00
2026-04-02,2.344,2026-04-02T11:58:35+02:00
2026-04-03,2.354,2026-04-03T12:04:54+02:00
2026-04-04,2.434,2026-04-04T12:02:49+02:00
2026-04-05,2.414,2026-04-05T12:02:44+02:00
2026-04-06,2.414,2026-04-06T12:03:57+02:00
2026-04-07,2.424,2026-04-07T12:02:15+02:00
2026-04-08,2.414,2026-04-08T12:04:13+02:00
2026-04-09,2.374,2026-04-09T12:00:56+02:00
2026-04-10,2.524,2026-04-10T12:04:21+02:00
2026-04-11,2.424,2026-04-11T12:07:23+02:00
2026-04-12,2.364,2026-04-12T12:07:25+02:00
2026-04-13,2.364,2026-04-13T12:04:19+02:00
2026-04-14,2.394,2026-04-14T12:07:41+02:00
2026-04-15,2.394,2026-04-15T12:03:32+02:00
