date,price,last_update
2026-04-01,2.229,2026-04-01T07:03:31+02:00
2026-04-02,2.209,2026-04-02T11:42:12+02:00
2026-04-03,2.289,2026-04-03T12:00:00+02:00
2026-04-04,2.289,2026-04-04T12:00:00+02:00
2026-04-05,2.289,2026-04-05T12:00:00+02:00
2026-04-06,2.289,2026-04-06T12:00:00+02:00
2026-04-07,2.469,2026-04-07T12:22:34+02:00
2026-04-08,2.469,2026-04-08T12:16:29+02:00
2026-04-09,2.299,2026-04-09T12:13:17+02:00
2026-04-10,2.239,2026-04-10T11:27:43+02:00
2026-04-11,2.299,2026-04-10T17:09:39+02:00
2026-04-13,2.209,2026-04-13T08:52:32+02:00
2026-04-14,2.399,2026-04-14T12:10:45+02:00
2026-04-15,2.359,2026-04-15T12:09:38+02:00
2026-04-16,2.129,2026-04-16T09:12:55+02:00
2026-04-17,2.109,2026-04-17T11:26:19+02:00
2026-04-18,2.149,2026-04-17T18:49:27+02:00
2026-04-20,2.079,2026-04-20T08:41:16+02:00
2026-04-21,2.059,2026-04-21T09:21:36+02:00
2026-04-22,2.199,2026-04-22T12:13:39+02:00
2026-04-23,2.239,2026-04-23T12:09:42+02:00
2026-04-24,2.079,2026-04-24T09:13:14+02:00
