date,price,last_update
2026-04-01,2.159,2026-04-01T12:00:00+02:00
2026-04-02,2.119,2026-04-02T12:00:00+02:00
2026-04-03,2.149,2026-04-03T12:11:02+02:00
2026-04-04,2.199,2026-04-04T12:11:04+02:00
2026-04-05,2.199,2026-04-05T12:00:00+02:00
2026-04-06,2.199,2026-04-06T12:00:00+02:00
2026-04-07,2.219,2026-04-07T12:05:17+02:00
2026-04-08,2.189,2026-04-08T12:00:00+02:00
2026-04-09,2.099,2026-04-08T18:24:22+02:00
2026-04-10,2.069,2026-04-10T06:54:28+02:00
2026-04-11,2.069,2026-04-11T09:05:35+02:00
2026-04-12,2.069,2026-04-11T09:05:35+02:00
2026-04-14,2.099,2026-04-13T14:30:31+02:00
2026-04-15,2.099,2026-04-14T12:05:39+02:00
2026-04-16,2.099,2026-04-16T10:05:54+02:00
2026-04-17,2.099,2026-04-16T10:05:54+02:00
2026-04-18,2.069,2026-04-18T09:20:15+02:00
2026-04-19,2.069,2026-04-18T09:20:15+02:00
2026-04-21,2.039,2026-04-21T11:05:24+02:00
2026-04-22,2.039,2026-04-21T11:05:24+02:00
2026-04-24,2.099,2026-04-24T12:05:45+02:00
2026-04-25,2.099,2026-04-24T12:05:45+02:00
2026-04-30,2.149,2026-04-29T18:05:23+02:00
2026-05-01,1.999,2026-05-01T10:29:32+02:00
2026-05-02,2.029,2026-05-02T12:07:36+02:00
2026-05-03,2.029,2026-05-02T12:07:36+02:00
2026-05-04,2.029,2026-05-04T06:45:28+02:00
2026-05-05,2.029,2026-05-04T06:45:28+02:00
2026-05-06,2.019,2026-05-06T07:00:57+02:00
2026-05-07,1.989,2026-05-06T13:24:58+02:00
2026-05-09,1.989,2026-05-09T07:50:17+02:00
2026-05-10,1.989,2026-05-09T12:04:58+02:00
2026-05-11,1.989,2026-05-11T07:15:28+02:00
2026-05-12,1.989,2026-05-11T07:15:28+02:00
2026-05-19,2.019,2026-05-18T12:05:23+02:00
2026-05-27,2.039,2026-05-27T12:04:43+02:00
2026-05-28,1.999,2026-05-27T16:14:49+02:00
2026-05-29,1.949,2026-05-28T19:00:04+02:00
2026-05-30,1.939,2026-05-29T18:40:44+02:00
2026-06-02,1.939,2026-06-02T10:50:10+02:00
2026-06-03,1.939,2026-06-02T10:50:10+02:00
2026-06-05,1.939,2026-06-04T12:00:18+02:00
2026-06-06,1.939,2026-06-05T12:10:27+02:00
2026-06-08,1.939,2026-06-08T11:57:40+02:00
2026-06-09,1.919,2026-06-09T04:11:34+02:00
2026-06-10,1.919,2026-06-09T04:11:34+02:00
2026-06-11,1.869,2026-06-11T06:59:17+02:00
2026-06-12,1.869,2026-06-11T06:59:17+02:00
2026-06-13,1.869,2026-06-13T08:30:38+02:00
2026-06-14,1.869,2026-06-14T04:11:45+02:00
2026-06-15,1.869,2026-06-15T07:50:06+02:00
2026-06-16,1.869,2026-06-16T08:04:45+02:00
2026-06-17,1.849,2026-06-17T07:04:50+02:00
2026-06-18,1.839,2026-06-18T07:00:21+02:00
2026-06-19,1.829,2026-06-19T07:41:20+02:00
2026-06-20,1.829,2026-06-19T07:41:20+02:00
2026-06-28,1.869,2026-06-27T12:09:36+02:00
2026-06-29,1.869,2026-06-29T07:45:19+02:00
2026-06-30,1.869,2026-06-29T07:45:19+02:00
2026-07-01,2.099,2026-07-01T12:05:10+02:00
2026-07-02,2.069,2026-07-02T08:39:59+02:00
2026-07-03,2.069,2026-07-02T08:39:59+02:00
2026-07-11,2.169,2026-07-10T12:05:28+02:00
2026-07-14,2.069,2026-07-14T07:05:58+02:00
2026-07-15,2.169,2026-07-15T12:10:46+02:00
2026-07-16,2.169,2026-07-15T12:10:46+02:00
2026-07-26,2.169,2026-07-26T07:33:20+02:00
2026-07-27,2.189,2026-07-27T12:10:10+02:00
2026-07-28,2.149,2026-07-28T09:11:05+02:00
2026-07-29,2.149,2026-07-28T09:11:05+02:00
2026-08-01,2.169,2026-07-31T12:02:29+02:00
2026-08-04,2.189,2026-08-04T06:51:50+02:00
2026-08-05,2.139,2026-08-05T10:07:54+02:00
2026-08-06,2.139,2026-08-05T10:07:54+02:00
2026-08-07,2.119,2026-08-07T10:47:08+02:00
2026-08-08,2.119,2026-08-07T10:47:08+02:00
2026-08-12,2.189,2026-08-12T12:02:48+02:00
2026-08-13,2.159,2026-08-13T06:52:39+02:00
2026-08-14,2.159,2026-08-13T12:08:29+02:00
2026-08-20,2.209,2026-08-19T14:02:44+02:00
2026-08-21,2.169,2026-08-20T15:57:26+02:00
2026-08-23,2.189,2026-08-22T12:02:45+02:00
2026-08-25,2.169,2026-08-25T11:48:21+02:00
2026-08-26,2.139,2026-08-26T09:47:42+02:00
2026-08-27,2.139,2026-08-26T09:47:42+02:00
2026-08-28,2.139,2026-08-28T11:38:03+02:00
