date,price,last_update
2026-04-01,2.159,2026-04-01T12:02:27+02:00
2026-04-02,2.179,2026-04-02T12:01:46+02:00
2026-04-03,2.219,2026-04-03T12:01:49+02:00
2026-04-04,2.219,2026-04-04T12:00:46+02:00
2026-04-05,2.219,2026-04-05T12:01:43+02:00
2026-04-06,2.219,2026-04-06T12:00:55+02:00
2026-04-07,2.189,2026-04-07T12:00:00+02:00
2026-04-30,2.239,2026-04-30T12:01:31+02:00
2026-05-01,2.079,2026-05-01T12:02:18+02:00
2026-05-02,2.079,2026-05-02T12:01:14+02:00
2026-05-03,2.079,2026-05-03T12:01:27+02:00
2026-05-04,2.079,2026-05-04T12:02:54+02:00
2026-05-05,2.119,2026-05-05T12:00:38+02:00
2026-05-06,1.959,2026-05-06T11:03:43+02:00
2026-05-07,2.059,2026-05-07T12:00:58+02:00
2026-05-08,2.059,2026-05-08T12:01:28+02:00
