date,price,last_update
2026-04-01,2.049,2026-04-01T09:02:24+02:00
2026-04-02,2.049,2026-04-02T12:00:00+02:00
2026-04-03,2.049,2026-04-03T12:00:00+02:00
2026-04-04,2.049,2026-04-04T12:02:49+02:00
2026-04-05,2.099,2026-04-05T12:00:00+02:00
2026-04-06,2.099,2026-04-06T12:00:00+02:00
2026-04-07,2.099,2026-04-07T12:00:00+02:00
2026-04-09,2.099,2026-04-08T19:41:33+02:00
2026-04-10,2.099,2026-04-09T18:54:23+02:00
2026-04-11,2.099,2026-04-11T07:48:23+02:00
2026-04-12,2.099,2026-04-11T07:48:23+02:00
2026-04-13,2.079,2026-04-12T15:17:34+02:00
2026-04-15,2.079,2026-04-15T09:06:56+02:00
2026-04-16,2.069,2026-04-16T11:25:35+02:00
2026-04-17,2.049,2026-04-16T18:46:51+02:00
2026-04-18,2.049,2026-04-18T08:03:04+02:00
2026-04-19,2.049,2026-04-18T08:03:04+02:00
2026-04-22,2.029,2026-04-22T10:02:42+02:00
2026-04-23,2.029,2026-04-22T10:02:42+02:00
2026-04-28,2.059,2026-04-27T18:58:17+02:00
2026-04-29,2.039,2026-04-29T10:39:14+02:00
2026-04-30,2.039,2026-04-29T10:39:14+02:00
2026-05-01,1.929,2026-05-01T08:46:39+02:00
2026-05-02,1.989,2026-05-02T12:03:21+02:00
2026-05-03,1.979,2026-05-02T12:34:03+02:00
2026-05-05,2.029,2026-05-04T12:02:54+02:00
2026-05-06,2.049,2026-05-06T12:07:50+02:00
2026-05-07,1.959,2026-05-06T17:38:42+02:00
2026-05-08,1.939,2026-05-07T20:32:47+02:00
2026-05-09,1.929,2026-05-08T19:03:23+02:00
2026-05-10,1.919,2026-05-09T19:34:17+02:00
2026-05-14,1.919,2026-05-13T19:32:17+02:00
2026-05-21,1.949,2026-05-21T08:02:00+02:00
2026-05-22,1.949,2026-05-21T08:02:00+02:00
2026-05-28,1.919,2026-05-28T10:03:12+02:00
2026-05-29,1.919,2026-05-28T10:03:12+02:00
2026-05-30,1.919,2026-05-30T10:35:05+02:00
2026-05-31,1.919,2026-05-30T10:35:05+02:00
2026-06-04,1.899,2026-06-04T10:02:33+02:00
2026-06-05,1.899,2026-06-04T10:02:33+02:00
2026-06-06,1.879,2026-06-06T10:15:03+02:00
2026-06-07,1.879,2026-06-06T10:15:03+02:00
2026-06-08,1.879,2026-06-08T11:57:40+02:00
2026-06-09,1.879,2026-06-09T04:11:34+02:00
2026-06-10,1.879,2026-06-09T04:11:34+02:00
2026-06-11,1.859,2026-06-11T10:32:47+02:00
2026-06-12,1.859,2026-06-11T10:32:47+02:00
2026-06-14,1.859,2026-06-14T04:11:45+02:00
2026-06-15,1.859,2026-06-15T07:50:06+02:00
2026-06-16,1.859,2026-06-15T19:40:48+02:00
2026-06-17,1.859,2026-06-16T13:37:13+02:00
