date,price,last_update
2026-04-01,2.269,2026-04-01T12:02:27+02:00
2026-04-02,2.239,2026-04-02T12:04:53+02:00
2026-04-03,2.329,2026-04-03T12:03:51+02:00
2026-04-04,2.309,2026-04-04T12:03:49+02:00
2026-04-05,2.329,2026-04-05T12:02:44+02:00
2026-04-06,2.329,2026-04-06T12:03:57+02:00
2026-04-07,2.329,2026-04-07T12:05:17+02:00
2026-04-08,2.309,2026-04-08T12:04:13+02:00
2026-04-09,2.309,2026-04-08T12:35:52+02:00
2026-04-10,2.239,2026-04-09T12:04:00+02:00
2026-04-11,2.239,2026-04-10T14:17:45+02:00
2026-04-12,2.239,2026-04-11T12:40:53+02:00
2026-04-13,2.239,2026-04-12T12:39:53+02:00
2026-04-14,2.239,2026-04-13T12:42:24+02:00
2026-04-15,2.239,2026-04-15T10:16:25+02:00
2026-04-16,2.239,2026-04-16T06:52:15+02:00
2026-04-17,2.239,2026-04-16T21:14:11+02:00
2026-04-18,2.229,2026-04-18T11:05:55+02:00
2026-04-19,2.229,2026-04-19T08:44:46+02:00
2026-04-20,2.229,2026-04-20T11:28:18+02:00
