date,price,last_update
2026-04-01,2.429,2026-04-01T12:03:32+02:00
2026-04-02,2.419,2026-04-02T12:05:53+02:00
2026-04-03,2.509,2026-04-03T12:05:54+02:00
2026-04-04,2.489,2026-04-04T12:05:55+02:00
2026-04-05,2.469,2026-04-05T12:04:45+02:00
2026-04-06,2.509,2026-04-06T12:04:58+02:00
2026-04-07,2.509,2026-04-07T12:05:17+02:00
2026-04-08,2.489,2026-04-08T12:03:10+02:00
2026-04-09,2.419,2026-04-09T11:58:54+02:00
2026-04-10,2.399,2026-04-10T12:02:20+02:00
2026-04-11,2.389,2026-04-11T12:04:20+02:00
2026-04-12,2.359,2026-04-12T12:07:25+02:00
2026-04-13,2.419,2026-04-13T12:03:17+02:00
2026-04-14,2.419,2026-04-14T12:03:35+02:00
2026-04-15,2.339,2026-04-15T12:04:33+02:00
2026-04-16,2.299,2026-04-16T12:03:25+02:00
2026-04-17,2.299,2026-04-17T12:05:07+02:00
