date,price,last_update
2026-04-01,2.369,2026-04-01T12:08:37+02:00
2026-04-02,2.369,2026-04-02T12:06:54+02:00
2026-04-03,2.479,2026-04-03T12:10:00+02:00
2026-04-04,2.489,2026-04-04T12:09:58+02:00
2026-04-05,2.519,2026-04-05T12:09:50+02:00
2026-04-06,2.499,2026-04-06T12:09:01+02:00
2026-04-07,2.469,2026-04-07T12:07:20+02:00
2026-04-08,2.459,2026-04-08T12:09:20+02:00
2026-04-09,2.379,2026-04-09T12:08:10+02:00
2026-04-10,2.349,2026-04-10T12:09:26+02:00
2026-04-11,2.339,2026-04-11T12:09:24+02:00
2026-04-12,2.339,2026-04-12T12:08:26+02:00
2026-04-13,2.379,2026-04-13T12:09:25+02:00
2026-04-14,2.379,2026-04-14T12:09:44+02:00
2026-04-15,2.289,2026-04-15T12:08:37+02:00
2026-04-16,2.279,2026-04-16T12:10:32+02:00
2026-04-17,2.279,2026-04-17T12:08:12+02:00
2026-04-18,2.249,2026-04-18T12:08:54+02:00
2026-04-19,2.249,2026-04-19T12:07:56+02:00
2026-04-20,2.219,2026-04-20T12:08:56+02:00
2026-04-21,2.209,2026-04-21T12:09:27+02:00
