date,price,last_update
2026-04-01,2.219,2026-04-01T12:00:00+02:00
2026-04-02,2.289,2026-04-02T12:04:53+02:00
2026-04-03,2.289,2026-04-03T12:00:00+02:00
2026-04-04,2.299,2026-04-04T09:35:48+02:00
2026-04-05,2.299,2026-04-05T12:00:00+02:00
2026-04-06,2.299,2026-04-06T12:00:00+02:00
2026-04-07,2.369,2026-04-07T12:03:16+02:00
2026-04-08,2.369,2026-04-07T12:03:16+02:00
2026-04-10,2.329,2026-04-10T09:13:09+02:00
2026-04-11,2.329,2026-04-10T09:13:09+02:00
2026-04-13,2.319,2026-04-13T12:04:19+02:00
2026-04-14,2.249,2026-04-13T16:49:01+02:00
2026-04-17,2.229,2026-04-16T16:04:12+02:00
2026-04-18,2.219,2026-04-18T07:29:33+02:00
2026-04-19,2.219,2026-04-18T07:29:33+02:00
2026-04-20,2.189,2026-04-20T07:52:17+02:00
2026-04-21,2.119,2026-04-20T16:39:29+02:00
2026-04-22,2.099,2026-04-22T08:00:48+02:00
2026-04-23,2.079,2026-04-22T12:03:31+02:00
2026-04-24,2.079,2026-04-23T12:04:39+02:00
2026-04-29,2.099,2026-04-28T12:04:00+02:00
2026-05-01,2.149,2026-04-30T16:48:06+02:00
2026-05-02,1.999,2026-05-02T08:14:54+02:00
2026-05-03,1.999,2026-05-02T08:14:54+02:00
2026-05-05,1.999,2026-05-04T16:46:25+02:00
2026-05-08,1.969,2026-05-08T08:15:35+02:00
2026-05-09,1.969,2026-05-08T08:15:35+02:00
2026-05-12,1.959,2026-05-11T16:50:58+02:00
2026-05-13,1.929,2026-05-13T08:58:21+02:00
2026-05-14,1.929,2026-05-13T08:58:21+02:00
2026-05-20,1.949,2026-05-19T12:03:52+02:00
2026-05-22,1.929,2026-05-22T08:48:34+02:00
2026-05-23,1.939,2026-05-23T12:00:38+02:00
2026-05-24,1.939,2026-05-23T12:00:38+02:00
2026-05-26,1.939,2026-05-26T08:01:26+02:00
2026-05-27,1.899,2026-05-26T16:30:34+02:00
2026-05-28,1.879,2026-05-28T07:56:13+02:00
2026-05-29,1.849,2026-05-29T07:46:07+02:00
2026-05-30,1.849,2026-05-29T07:46:07+02:00
2026-06-01,1.829,2026-06-01T08:05:48+02:00
2026-06-02,1.829,2026-06-01T08:05:48+02:00
2026-06-08,1.829,2026-06-08T11:57:40+02:00
2026-06-09,1.849,2026-06-09T12:02:59+02:00
2026-06-10,1.849,2026-06-09T12:02:59+02:00
2026-06-11,1.829,2026-06-11T07:54:13+02:00
2026-06-12,1.829,2026-06-11T07:54:13+02:00
2026-06-14,1.829,2026-06-14T04:11:45+02:00
2026-06-15,1.799,2026-06-15T07:56:15+02:00
2026-06-16,1.749,2026-06-16T07:36:20+02:00
2026-06-17,1.729,2026-06-17T07:51:35+02:00
2026-06-18,1.699,2026-06-18T07:38:58+02:00
2026-06-19,1.699,2026-06-18T07:38:58+02:00
2026-06-24,1.699,2026-06-23T12:03:50+02:00
2026-06-29,1.699,2026-06-29T07:45:19+02:00
2026-06-30,1.779,2026-06-30T12:04:37+02:00
2026-07-01,1.879,2026-07-01T12:05:10+02:00
2026-07-02,1.879,2026-07-01T12:05:10+02:00
2026-07-04,1.899,2026-07-03T12:03:44+02:00
2026-07-08,1.919,2026-07-07T12:03:46+02:00
2026-07-14,1.959,2026-07-14T12:04:19+02:00
