date,price,last_update
2026-04-01,1.989,2026-04-01T12:00:00+02:00
2026-04-02,2.079,2026-04-02T12:04:53+02:00
2026-04-03,2.049,2026-04-03T12:00:00+02:00
2026-04-04,2.079,2026-04-04T12:03:49+02:00
2026-04-05,2.079,2026-04-05T12:00:00+02:00
2026-04-06,2.079,2026-04-06T12:00:00+02:00
2026-04-07,2.079,2026-04-07T12:02:15+02:00
2026-04-08,2.079,2026-04-07T12:02:15+02:00
2026-04-09,2.049,2026-04-09T07:46:19+02:00
2026-04-10,2.049,2026-04-10T06:53:28+02:00
2026-04-11,2.049,2026-04-10T06:53:28+02:00
2026-04-14,2.049,2026-04-14T10:46:52+02:00
2026-04-15,2.049,2026-04-14T10:46:52+02:00
2026-04-16,2.039,2026-04-16T11:11:19+02:00
2026-04-17,2.039,2026-04-16T11:11:19+02:00
2026-04-18,1.999,2026-04-17T18:09:51+02:00
2026-04-25,2.029,2026-04-24T12:01:42+02:00
2026-05-01,1.909,2026-05-01T08:14:25+02:00
