date,price,last_update
2026-04-01,2.028,2026-04-01T12:00:00+02:00
2026-04-02,2.028,2026-04-02T12:00:00+02:00
2026-04-03,2.048,2026-04-03T12:18:29+02:00
2026-04-04,2.088,2026-04-04T12:03:49+02:00
2026-04-05,2.148,2026-04-05T12:02:44+02:00
2026-04-06,2.168,2026-04-06T12:03:57+02:00
2026-04-07,2.168,2026-04-07T12:00:00+02:00
2026-04-08,2.148,2026-04-07T13:04:25+02:00
2026-04-09,2.148,2026-04-09T07:56:30+02:00
2026-04-10,2.148,2026-04-09T07:56:30+02:00
2026-04-11,2.148,2026-04-10T16:23:53+02:00
2026-04-13,2.128,2026-04-13T07:44:21+02:00
2026-04-14,2.128,2026-04-13T07:44:21+02:00
2026-04-15,2.098,2026-04-14T19:49:29+02:00
2026-04-21,2.088,2026-04-21T07:41:46+02:00
2026-04-22,2.038,2026-04-22T07:43:30+02:00
2026-04-23,2.038,2026-04-22T07:43:30+02:00
2026-04-25,2.058,2026-04-24T12:01:42+02:00
2026-05-02,1.928,2026-05-02T07:27:16+02:00
