date,price,last_update
2026-04-02,2.349,2026-04-02T12:13:00+02:00
2026-04-03,2.349,2026-04-03T12:00:00+02:00
2026-04-04,2.349,2026-04-04T12:00:00+02:00
2026-04-05,2.349,2026-04-05T12:00:00+02:00
2026-04-06,2.349,2026-04-06T12:00:00+02:00
2026-04-08,2.389,2026-04-07T12:12:25+02:00
2026-04-10,2.289,2026-04-10T08:33:24+02:00
2026-04-11,2.289,2026-04-10T08:33:24+02:00
2026-04-14,2.259,2026-04-14T08:12:59+02:00
2026-04-15,2.199,2026-04-15T08:07:50+02:00
2026-04-16,2.199,2026-04-15T08:07:50+02:00
2026-04-21,2.079,2026-04-21T08:28:48+02:00
2026-04-22,2.079,2026-04-21T08:28:48+02:00
2026-04-25,2.119,2026-04-24T12:10:50+02:00
2026-05-02,1.949,2026-05-02T09:56:27+02:00
2026-05-03,1.949,2026-05-02T09:56:27+02:00
2026-05-05,1.999,2026-05-04T12:02:54+02:00
