date,price,last_update
2026-04-01,2.269,2026-04-01T12:05:33+02:00
2026-04-02,2.239,2026-04-02T12:31:54+02:00
2026-04-03,2.329,2026-04-03T12:06:55+02:00
2026-04-04,2.309,2026-04-04T12:06:56+02:00
2026-04-05,2.329,2026-04-05T12:07:49+02:00
2026-04-06,2.329,2026-04-06T12:34:21+02:00
2026-04-07,2.329,2026-04-07T12:07:20+02:00
2026-04-08,2.309,2026-04-08T12:07:18+02:00
2026-04-09,2.039,2026-04-09T08:00:34+02:00
2026-04-10,2.089,2026-04-10T11:18:34+02:00
2026-04-11,2.239,2026-04-11T12:03:19+02:00
2026-04-12,2.239,2026-04-12T12:07:25+02:00
2026-04-13,2.089,2026-04-13T07:48:27+02:00
2026-04-14,2.079,2026-04-14T10:14:18+02:00
2026-04-15,2.069,2026-04-15T11:18:38+02:00
2026-04-16,2.069,2026-04-16T07:09:29+02:00
2026-04-17,2.069,2026-04-17T06:20:46+02:00
2026-04-18,2.059,2026-04-17T17:58:41+02:00
2026-04-19,2.229,2026-04-19T12:07:56+02:00
2026-04-20,2.059,2026-04-19T17:39:13+02:00
2026-04-21,2.229,2026-04-21T12:07:26+02:00
2026-04-22,2.249,2026-04-22T12:07:35+02:00
