date,price,last_update
2026-04-01,2.070,2026-04-01T12:04:33+02:00
2026-04-02,2.070,2026-04-02T12:00:00+02:00
2026-04-03,2.120,2026-04-03T12:04:54+02:00
2026-04-04,2.120,2026-04-04T12:00:00+02:00
2026-04-05,2.140,2026-04-05T12:04:45+02:00
2026-04-06,2.140,2026-04-06T12:00:00+02:00
2026-04-07,2.170,2026-04-07T12:05:17+02:00
2026-04-08,2.170,2026-04-07T12:05:17+02:00
2026-04-09,2.130,2026-04-09T08:17:52+02:00
2026-04-10,2.120,2026-04-10T10:04:13+02:00
2026-04-11,2.110,2026-04-10T16:21:52+02:00
2026-04-15,2.090,2026-04-15T10:26:37+02:00
2026-04-16,2.070,2026-04-16T09:10:52+02:00
2026-04-17,2.070,2026-04-17T09:25:08+02:00
2026-04-18,2.070,2026-04-17T19:37:12+02:00
2026-04-19,2.070,2026-04-18T21:11:24+02:00
2026-04-21,2.070,2026-04-21T11:02:21+02:00
2026-04-22,2.070,2026-04-21T11:02:21+02:00
2026-04-25,2.090,2026-04-24T12:04:44+02:00
2026-05-01,1.990,2026-05-01T08:47:40+02:00
2026-05-02,1.990,2026-05-01T08:47:40+02:00
2026-05-05,2.010,2026-05-05T12:03:48+02:00
2026-05-06,2.010,2026-05-05T12:03:48+02:00
2026-05-07,1.980,2026-05-07T11:31:27+02:00
2026-05-08,1.950,2026-05-08T10:02:26+02:00
2026-05-09,1.940,2026-05-09T06:07:49+02:00
2026-05-10,1.940,2026-05-09T06:07:49+02:00
2026-05-13,1.940,2026-05-12T20:21:50+02:00
2026-05-21,1.940,2026-05-20T19:42:59+02:00
2026-05-24,1.920,2026-05-24T09:50:18+02:00
2026-05-25,1.920,2026-05-24T17:25:49+02:00
2026-05-28,1.910,2026-05-27T16:56:28+02:00
2026-05-29,1.910,2026-05-29T05:21:09+02:00
2026-05-30,1.910,2026-05-30T11:09:31+02:00
2026-05-31,1.910,2026-05-30T11:09:31+02:00
2026-06-01,1.910,2026-06-01T07:05:48+02:00
2026-06-02,1.910,2026-06-01T07:05:48+02:00
2026-06-03,1.910,2026-06-02T12:03:45+02:00
2026-06-06,1.890,2026-06-06T09:39:31+02:00
2026-06-07,1.890,2026-06-06T09:39:31+02:00
2026-06-08,1.890,2026-06-08T11:57:40+02:00
2026-06-09,1.890,2026-06-09T04:11:34+02:00
2026-06-10,1.890,2026-06-09T04:11:34+02:00
2026-06-11,1.870,2026-06-11T06:59:17+02:00
2026-06-12,1.870,2026-06-11T06:59:17+02:00
2026-06-13,1.860,2026-06-13T07:46:06+02:00
2026-06-14,1.850,2026-06-14T04:11:45+02:00
2026-06-15,1.850,2026-06-15T07:50:06+02:00
2026-06-16,1.830,2026-06-16T09:02:46+02:00
2026-06-17,1.830,2026-06-16T13:37:13+02:00
2026-06-19,1.800,2026-06-19T11:01:53+02:00
2026-06-20,1.800,2026-06-19T11:01:53+02:00
2026-06-29,1.800,2026-06-29T07:45:19+02:00
2026-06-30,1.820,2026-06-30T12:05:39+02:00
