date,price,last_update
2026-04-01,2.369,2026-04-01T12:00:00+02:00
2026-04-02,2.369,2026-04-02T12:00:00+02:00
2026-04-03,2.369,2026-04-03T12:00:00+02:00
2026-04-06,2.369,2026-04-06T12:00:00+02:00
2026-04-28,2.339,2026-04-28T12:00:58+02:00
2026-04-29,2.339,2026-04-29T12:00:28+02:00
2026-04-30,2.379,2026-04-30T12:01:31+02:00
2026-05-01,2.059,2026-05-01T00:02:02+02:00
2026-05-02,2.229,2026-05-02T12:01:14+02:00
2026-05-03,2.229,2026-05-03T12:01:27+02:00
2026-05-04,2.179,2026-05-04T12:02:54+02:00
2026-05-05,2.209,2026-05-05T12:00:38+02:00
2026-05-06,2.189,2026-05-06T12:00:42+02:00
