date,price,last_update
2026-04-01,2.209,2026-04-01T12:02:27+02:00
2026-04-02,2.189,2026-04-02T11:59:37+02:00
2026-04-03,2.209,2026-04-03T12:02:50+02:00
2026-04-04,2.269,2026-04-04T12:02:49+02:00
2026-04-05,2.269,2026-04-05T12:07:49+02:00
2026-04-06,2.269,2026-04-06T12:08:00+02:00
2026-04-07,2.179,2026-04-07T12:08:20+02:00
2026-04-08,2.159,2026-04-08T12:07:18+02:00
2026-04-09,2.089,2026-04-09T12:07:09+02:00
2026-04-10,2.099,2026-04-10T12:09:26+02:00
2026-04-11,2.099,2026-04-11T12:09:24+02:00
2026-04-12,2.129,2026-04-12T12:10:28+02:00
2026-04-13,2.139,2026-04-13T12:09:25+02:00
