date,price,last_update
2026-04-01,2.329,2026-04-01T16:35:50+02:00
2026-04-02,2.329,2026-04-02T12:00:00+02:00
2026-04-03,2.399,2026-04-03T12:11:02+02:00
2026-04-04,2.399,2026-04-04T12:40:38+02:00
2026-04-05,2.369,2026-04-05T13:16:54+02:00
2026-04-06,2.399,2026-04-06T12:11:04+02:00
2026-04-07,2.459,2026-04-07T12:11:23+02:00
2026-04-08,2.469,2026-04-08T12:11:24+02:00
2026-04-09,2.469,2026-04-09T12:11:16+02:00
2026-04-10,2.399,2026-04-10T12:11:28+02:00
2026-04-11,2.379,2026-04-11T12:10:25+02:00
2026-04-12,2.339,2026-04-12T12:11:29+02:00
