date,price,last_update
2026-04-01,2.139,2026-04-01T12:00:00+02:00
2026-04-02,2.279,2026-04-02T11:57:34+02:00
2026-04-03,2.329,2026-04-03T12:01:49+02:00
2026-04-04,2.219,2026-04-04T12:00:00+02:00
2026-04-05,2.219,2026-04-05T12:00:00+02:00
2026-04-06,2.219,2026-04-06T12:00:00+02:00
2026-04-22,2.219,2026-04-22T12:07:35+02:00
2026-04-23,2.199,2026-04-23T12:01:36+02:00
2026-04-24,2.219,2026-04-24T12:10:50+02:00
2026-04-25,2.209,2026-04-25T12:02:19+02:00
2026-04-26,2.209,2026-04-26T12:03:55+02:00
2026-04-27,2.209,2026-04-27T12:00:43+02:00
2026-04-28,2.209,2026-04-28T12:01:58+02:00
2026-04-29,2.219,2026-04-29T12:01:29+02:00
2026-04-30,2.209,2026-04-30T12:04:34+02:00
2026-05-01,2.070,2026-05-01T12:04:19+02:00
2026-05-02,2.089,2026-05-02T12:03:21+02:00
2026-05-03,2.119,2026-05-03T12:01:27+02:00
2026-05-04,2.129,2026-05-04T12:02:54+02:00
2026-05-05,2.169,2026-05-05T12:03:48+02:00
2026-05-06,2.169,2026-05-06T12:00:42+02:00
2026-05-07,2.149,2026-05-07T12:03:02+02:00
2026-05-08,2.119,2026-05-08T12:04:31+02:00
