date,price,last_update
2026-04-01,2.299,2026-04-01T12:00:00+02:00
2026-04-02,2.379,2026-04-02T12:01:46+02:00
2026-04-03,2.379,2026-04-03T12:00:00+02:00
2026-04-04,2.379,2026-04-04T12:00:00+02:00
2026-04-05,2.379,2026-04-05T12:00:00+02:00
2026-04-06,2.429,2026-04-06T12:04:58+02:00
2026-04-07,2.429,2026-04-07T12:00:00+02:00
2026-04-08,2.349,2026-04-08T12:00:00+02:00
2026-04-09,2.349,2026-04-09T09:10:51+02:00
2026-04-10,2.319,2026-04-09T23:43:53+02:00
2026-04-11,2.269,2026-04-11T11:07:28+02:00
2026-04-12,2.269,2026-04-11T11:07:28+02:00
2026-04-14,2.299,2026-04-13T12:03:17+02:00
2026-04-15,2.249,2026-04-15T08:39:30+02:00
2026-04-16,2.179,2026-04-16T09:30:20+02:00
2026-04-17,2.159,2026-04-17T10:13:57+02:00
2026-04-18,2.159,2026-04-17T10:13:57+02:00
2026-04-20,2.129,2026-04-20T09:18:55+02:00
2026-04-21,2.129,2026-04-20T09:18:55+02:00
2026-04-22,2.139,2026-04-22T12:03:31+02:00
2026-04-23,2.119,2026-04-23T10:00:34+02:00
2026-04-24,2.119,2026-04-23T10:00:34+02:00
2026-05-02,1.999,2026-05-01T13:26:38+02:00
2026-05-04,2.069,2026-05-04T12:02:54+02:00
2026-05-05,2.069,2026-05-04T12:02:54+02:00
2026-05-08,1.999,2026-05-07T12:03:02+02:00
2026-05-11,1.969,2026-05-11T09:28:28+02:00
2026-05-12,1.969,2026-05-12T06:58:15+02:00
2026-05-13,1.969,2026-05-12T06:58:15+02:00
2026-05-20,1.949,2026-05-19T12:03:52+02:00
2026-05-23,1.939,2026-05-23T12:01:40+02:00
2026-05-24,1.939,2026-05-23T12:01:40+02:00
2026-05-26,1.909,2026-05-26T11:58:25+02:00
2026-05-27,1.909,2026-05-26T11:58:25+02:00
2026-05-29,1.879,2026-05-28T12:01:57+02:00
2026-06-01,1.839,2026-06-01T11:28:05+02:00
2026-06-02,1.839,2026-06-01T11:28:05+02:00
2026-06-08,1.869,2026-06-08T12:04:47+02:00
2026-06-09,1.829,2026-06-09T11:25:26+02:00
2026-06-10,1.829,2026-06-09T11:25:26+02:00
2026-06-11,1.829,2026-06-11T06:59:17+02:00
2026-06-12,1.829,2026-06-11T06:59:17+02:00
2026-06-14,1.829,2026-06-14T04:11:45+02:00
2026-06-15,1.799,2026-06-15T11:31:16+02:00
2026-06-16,1.799,2026-06-15T11:31:16+02:00
2026-06-17,1.759,2026-06-17T08:15:59+02:00
2026-06-18,1.759,2026-06-17T08:15:59+02:00
2026-06-22,1.739,2026-06-22T08:30:24+02:00
2026-06-23,1.739,2026-06-22T08:30:24+02:00
2026-06-24,1.709,2026-06-23T15:30:43+02:00
2026-06-26,1.729,2026-06-26T07:57:26+02:00
2026-06-27,1.729,2026-06-26T07:57:26+02:00
2026-06-29,1.759,2026-06-29T12:04:52+02:00
2026-06-30,1.859,2026-06-30T12:10:45+02:00
2026-07-01,1.959,2026-07-01T12:05:10+02:00
2026-07-02,1.959,2026-07-01T12:05:10+02:00
2026-07-03,1.939,2026-07-03T09:33:45+02:00
2026-07-04,1.939,2026-07-03T09:33:45+02:00
2026-07-10,1.999,2026-07-10T12:03:26+02:00
2026-07-11,1.999,2026-07-10T12:03:26+02:00
2026-07-16,2.089,2026-07-15T12:02:36+02:00
2026-07-22,2.079,2026-07-22T08:12:35+02:00
2026-07-23,2.079,2026-07-22T08:12:35+02:00
2026-07-26,2.079,2026-07-26T07:33:20+02:00
2026-07-27,2.079,2026-07-26T07:33:20+02:00
