date,price,last_update
2026-04-01,2.428,2026-04-01T12:08:37+02:00
2026-04-02,2.128,2026-04-02T12:00:00+02:00
2026-04-03,2.188,2026-04-03T20:28:03+02:00
2026-04-04,2.188,2026-04-04T12:00:00+02:00
2026-04-05,2.308,2026-04-05T12:32:07+02:00
2026-04-06,2.218,2026-04-06T12:17:09+02:00
2026-04-07,2.318,2026-04-07T12:32:44+02:00
2026-04-08,2.458,2026-04-08T12:04:13+02:00
2026-04-09,2.158,2026-04-08T20:27:18+02:00
2026-04-10,2.088,2026-04-10T06:50:25+02:00
2026-04-11,2.378,2026-04-11T12:03:19+02:00
2026-04-12,2.358,2026-04-12T12:02:20+02:00
2026-04-13,2.358,2026-04-13T12:04:19+02:00
2026-04-14,2.398,2026-04-14T12:04:37+02:00
2026-04-15,2.348,2026-04-15T12:04:33+02:00
2026-04-16,2.348,2026-04-16T12:03:25+02:00
2026-04-17,2.348,2026-04-17T12:02:00+02:00
2026-04-18,2.358,2026-04-18T12:04:51+02:00
2026-04-19,2.288,2026-04-19T12:03:52+02:00
2026-04-20,2.288,2026-04-20T12:03:51+02:00
2026-04-21,1.998,2026-04-20T18:28:22+02:00
2026-04-22,2.298,2026-04-22T12:02:31+02:00
2026-04-23,2.338,2026-04-23T12:03:38+02:00
2026-04-24,2.058,2026-04-24T08:56:59+02:00
2026-04-25,2.198,2026-04-25T12:03:19+02:00
2026-04-26,2.208,2026-04-26T12:04:56+02:00
2026-04-27,2.208,2026-04-27T12:03:47+02:00
2026-04-28,2.208,2026-04-28T12:02:59+02:00
2026-04-29,2.218,2026-04-29T12:03:30+02:00
2026-04-30,2.448,2026-04-30T12:02:32+02:00
2026-05-01,2.318,2026-05-01T12:03:18+02:00
2026-05-02,2.358,2026-05-02T12:02:20+02:00
2026-05-03,2.368,2026-05-03T12:02:30+02:00
2026-05-04,2.308,2026-05-04T12:02:54+02:00
2026-05-05,2.328,2026-05-05T12:01:39+02:00
2026-05-06,2.328,2026-05-06T12:02:44+02:00
2026-05-07,2.308,2026-05-07T12:02:00+02:00
