date,price,last_update
2026-04-01,2.089,2026-04-01T11:59:22+02:00
2026-04-02,2.009,2026-04-02T11:59:37+02:00
2026-04-03,2.089,2026-04-03T12:02:50+02:00
2026-04-04,2.069,2026-04-04T12:00:46+02:00
2026-04-05,2.069,2026-04-05T12:01:43+02:00
2026-04-06,2.249,2026-04-06T12:04:58+02:00
2026-04-07,2.249,2026-04-07T12:13:26+02:00
2026-04-08,2.249,2026-04-08T12:04:13+02:00
2026-04-09,2.259,2026-04-09T12:07:09+02:00
2026-04-10,2.259,2026-04-10T12:02:20+02:00
2026-04-11,2.249,2026-04-11T12:04:20+02:00
2026-04-12,2.249,2026-04-12T12:04:23+02:00
2026-04-13,2.249,2026-04-13T12:03:17+02:00
2026-04-14,2.249,2026-04-14T12:05:39+02:00
2026-04-15,2.249,2026-04-15T12:03:32+02:00
2026-04-16,2.249,2026-04-16T12:09:30+02:00
2026-04-17,2.229,2026-04-17T12:04:05+02:00
2026-04-18,2.229,2026-04-18T12:04:51+02:00
2026-04-19,2.229,2026-04-19T12:03:52+02:00
2026-04-20,2.229,2026-04-20T12:03:51+02:00
