operator,station_count
UNBEKANNT,426
HEM,396
BFT,381
FREIE TANKSTELLE,232
OIL!,196
AVIA XPRESS,194
SB,189
CLASSIC,174
WESTFALEN,152
SUPERMARKT-TANKSTELLE,119
HOYER,118
Q1,112
ED,99
SPRINT,96
ORLEN,91
TEAM,85
BAYWA,79
ELAN,76
NORDOEL,68
BFT - WALTHER,68
ACCESS,64
MARKANT,60
SCORE,53
TOTALENERGIES AUTOHOF,53
GLOBUS SB WARENHAUS,51
FREIE,49
GREENLINE,45
TANKCENTER,45
CALPAM,43
T,40
ROTH- ENERGIE,39
TOTALENERGIES TRUCKSTOP,37
TANKPOINT,37
FREI,35
V-MARKT,35
TANKSTELLE,34
RAN,34
GULF,33
PM,31
BFT-WILLER,31
M1,30
TOPTANK,29
BK,29
TAS,27
BAVARIA PETROL,27
SUPERMARKT,27
ZG RAIFFEISEN ENERGIE,25
FAMILA,24
VR PLUS ENERGIE,24
MTB,24
AVEX,23
HEINRICH ALBERS OHG,23
MARKANT (TANKAUTOMAT),22
ALLGUTH,22
PLUDRA,21
OIL! (AUTOMATENSTATION),20
HERM,19
JANTZON TANKSTELLE,19
MARKTKAUF,19
BELL OIL,19
ORLEN EXPRESS,19
TOTAL,19
FELTA,18
EC TANKSTELLE ROLFES,18
HOYER ENERGY DIRECT,18
MARKENFREIE TS,18
SUPOL,17
PIN SERVICE-STATION,17
ELO,17
TINQ,16
MUNDORF TANK,16
WIRO,16
LEO,16
MR. WASH AUTOSERVICE AG,15
RAIFFEISEN MITTE,15
HONSEL,14
BERGLER,14
JOISS,14
AVIA TRUCK,13
EDEKA,13
SB-MARKTTANKSTELLE,13
KNIES+LAGOTKA,12
TAMOIL,12
WINKLER 24H,12
RAIFFEISEN-LANDBUND EG,12
LANFER,12
KUSTER ENERGY,12
HESSOL,12
SWE SÜDWESTENERGIE GMBH,11
CLEANCAR,11
SEITZ MARTIN TANKSTELLEN,11
RAIFFEISEN GROSS LESSEN-DIEPHOLZ,11
E-CENTER,11
MINERA,11
KAUFLAND,11
RATIO,10
A ENERGIE,10
TANKSTELLE GRÜNE,10
MENGIN,10
LEU ENERGIE,10
BMÖ,10
BURGER 24H,10
KÖHN & PLAMBECK,10
DELTIN,10
SCHILLHORN TANKSTELLE,9
ENI,9
E CENTER,9
RAIFFEISEN HUNSRÜCK,9
TRAMIN,9
AGIP,8
BFT-TANKSTELLE,8
SCHUSTER & SOHN KG,8
GREBE,8
FENEBERG,8
GS DIE GENOSSENSCHAFT EG,8
PM XPRESS 24,8
BUNTE MINERALÖLHANDEL GMBH,8
PINOIL,8
EDI,7
RAIFFEISEN HATTEN EG,7
GO,7
LENZ ENERGIE,7
WESTFALEN-BAT,7
SB TANKSTELLE,7
PM XPRESS,7
W. DORST,7
WIKING,7
RAIFFEISEN EG,7
